iter	RMSE
0	0.2120170135
1	0.2014163081
2	0.1913459808
3	0.1817791278
4	0.1726906118
5	0.1640564489
6	0.1558539799
7	0.1480616455
8	0.1406587161
9	0.1336260654
10	0.1269450857
11	0.1205980935
12	0.1145685138
13	0.1088403308
14	0.1033984854
15	0.09822877502
16	0.09331751537
17	0.08865182084
18	0.08421938483
19	0.08000856913
20	0.07600835565
21	0.07220799311
22	0.06859772361
23	0.06516797307
24	0.06190969984
25	0.05881435819
26	0.05587378653
27	0.05308014025
28	0.05042624831
29	0.04790506639
30	0.04550989413
31	0.04323443676
32	0.04107280125
33	0.03901925174
34	0.03706839475
35	0.03521505229
36	0.03345435708
37	0.03178172518
38	0.03019271898
39	0.02868317155
40	0.02724904345
41	0.02588666119
42	0.02459239952
43	0.02336284234
44	0.02219476402
45	0.02108508191
46	0.02003088234
47	0.01902939481
48	0.01807797415
49	0.01717412134
50	0.01631547643
51	0.01549976639
52	0.01472483049
53	0.01398862618
54	0.01328925556
55	0.01262484427
56	0.01199365647
57	0.01139403021
58	0.0108243722
59	0.01028319778
60	0.009769096375
61	0.009280696856
62	0.008816708331
63	0.008375920828
64	0.007957173435
65	0.007559373174
66	0.007181451401
67	0.006822441277
68	0.006481383423
69	0.00615737679
70	0.005849572596
71	0.005557151302
72	0.005279360507
73	0.0050154566
74	0.004764753682
75	0.00452658392
76	0.004300328614
77	0.004085391255
78	0.003881203381
79	0.003687226207
80	0.003502950745
81	0.003327893321
82	0.003161593129
83	0.003003610652
84	0.002853533988
85	0.002710967091
86	0.00257552397
87	0.002446853532
88	0.002324625245
89	0.002208515295
90	0.002098213265
91	0.001993437979
92	0.001893909019
93	0.001799363866
94	0.001709536405
95	0.001624209565
96	0.001543169201
97	0.001466169781
98	0.001393042451
99	0.00132358168
100	0.001257595441
101	0.001194907037
102	0.001135368314
103	0.001078832182
104	0.001025098213
105	0.0009740801895
106	0.0009256209427
107	0.0008795642303
108	0.0008358462245
109	0.0007942853969
110	0.0007548352827
111	0.0007174085169
112	0.0006818380579
113	0.0006480471447
114	0.0006159686232
115	0.0005854950681
116	0.0005565781647
117	0.0005290933214
118	0.0005029917547
119	0.000478211012
120	0.0004547092441
121	0.0004323598286
122	0.0004111447547
123	0.0003909849712
124	0.0003718499771
125	0.0003537126651
126	0.0003364691298
127	0.0003201150117
128	0.0003045843481
129	0.0002898715094
130	0.0002758977859
131	0.0002626445034
132	0.0002500647053
133	0.0002381443578
134	0.0002268314118
135	0.0002161260114
136	0.0002059660272
137	0.0001963307973
138	0.0001871914475
139	0.0001785400559
140	0.0001703417269
141	0.000162585019
142	0.0001552459782
143	0.0001482992978
144	0.0001417276944
145	0.0001355126344
146	0.0001296356207
147	0.0001240869906
148	0.0001188468125
149	0.0001139055521
150	0.0001092320691
151	0.0001048174442
152	0.0001006619587
153	9.674811786e-05
154	9.30699375e-05
155	8.960548166e-05
156	8.635347718e-05
157	8.330367664e-05
158	8.043126139e-05
159	7.777689602e-05
160	7.523158011e-05
161	7.286372583e-05
162	7.062687317e-05
163	6.854073813e-05
164	6.659739969e-05
165	6.478996073e-05
166	6.314204069e-05
167	6.159505509e-05
168	6.016028615e-05
169	5.881710901e-05
170	5.751337411e-05
171	5.635211874e-05
172	5.520653116e-05
173	5.421157517e-05
174	5.323139097e-05
175	5.233387332e-05
176	5.153449075e-05
177	5.073707947e-05
178	5.005093063e-05
179	4.941715077e-05
180	4.87647236e-05
181	4.820440915e-05
182	4.762467533e-05
183	4.710604515e-05
184	4.666460285e-05
185	4.625682878e-05
186	4.587814122e-05
187	4.541095859e-05
188	4.503590386e-05
189	4.462842899e-05
190	4.426135283e-05
191	4.399089154e-05
192	4.369093187e-05
193	4.335165915e-05
194	4.30346246e-05
195	4.276552169e-05
196	4.248001531e-05
197	4.220288491e-05
198	4.196276538e-05
199	4.170731782e-05
200	4.141613679e-05
201	4.110099779e-05
202	4.088170343e-05
203	4.067493779e-05
204	4.038268809e-05
205	4.016828782e-05
206	3.998069749e-05
207	3.970641788e-05
208	3.950083858e-05
209	3.932058455e-05
210	3.91302578e-05
211	3.887588165e-05
212	3.862175538e-05
213	3.83880821e-05
214	3.825495199e-05
215	3.812828653e-05
216	3.790751223e-05
217	3.778837297e-05
218	3.757789972e-05
219	3.746562063e-05
220	3.7263445e-05
221	3.71186665e-05
222	3.702172723e-05
223	3.673761436e-05
224	3.660475685e-05
225	3.652009813e-05
226	3.639478918e-05
227	3.616932905e-05
228	3.59763786e-05
229	3.571868885e-05
230	3.562036843e-05
231	3.543729939e-05
232	3.53142155e-05
233	3.516435214e-05
234	3.507883188e-05
235	3.498888201e-05
236	3.481581187e-05
237	3.472218995e-05
238	3.449195199e-05
239	3.435867439e-05
240	3.423277703e-05
241	3.41189021e-05
242	3.404086273e-05
243	3.395285985e-05
244	3.384280713e-05
245	3.372591696e-05
246	3.344498724e-05
247	3.333568857e-05
248	3.327484211e-05
249	3.319195467e-05
250	3.312448768e-05
251	3.304551042e-05
252	3.298123833e-05
253	3.27163926e-05
254	3.265426652e-05
255	3.254739739e-05
256	3.235429618e-05
257	3.216135851e-05
258	3.210232365e-05
259	3.185896935e-05
260	3.179798918e-05
261	3.172551559e-05
262	3.166737247e-05
263	3.152918791e-05
264	3.143219301e-05
265	3.137757181e-05
266	3.120166049e-05
267	3.110144254e-05
268	3.103465496e-05
269	3.096608842e-05
270	3.076757475e-05
271	3.070101343e-05
272	3.060579397e-05
273	3.052800743e-05
274	3.040680686e-05
275	3.036460643e-05
276	3.030196086e-05
277	3.021430579e-05
278	3.005137123e-05
279	2.979554517e-05
280	2.970834172e-05
281	2.96476443e-05
282	2.958904351e-05
283	2.953245717e-05
284	2.937672821e-05
285	2.919612155e-05
286	2.915014473e-05
287	2.911220509e-05
288	2.907143076e-05
289	2.895205385e-05
290	2.889972416e-05
291	2.884594654e-05
292	2.876086687e-05
293	2.87089552e-05
294	2.862582889e-05
295	2.839758949e-05
296	2.836036461e-05
297	2.830958414e-05
298	2.826919076e-05
299	2.818928089e-05
300	2.809009198e-05
301	2.801700964e-05
302	2.795424414e-05
303	2.776377348e-05
304	2.76936957e-05
305	2.750540221e-05
306	2.743072756e-05
307	2.736309536e-05
308	2.72895144e-05
309	2.724097901e-05
310	2.716403543e-05
311	2.709904123e-05
312	2.705259675e-05
313	2.699705322e-05
314	2.693378318e-05
315	2.675836695e-05
316	2.672684883e-05
317	2.666562317e-05
318	2.662051627e-05
319	2.658964962e-05
320	2.653387354e-05
321	2.650442546e-05
322	2.633812319e-05
323	2.627398622e-05
324	2.618290799e-05
325	2.613862764e-05
326	2.60508973e-05
327	2.597863017e-05
328	2.594070707e-05
329	2.587885342e-05
330	2.585007987e-05
331	2.580816972e-05
332	2.573834273e-05
333	2.569800819e-05
334	2.565303992e-05
335	2.558408623e-05
336	2.551714365e-05
337	2.545164379e-05
338	2.541255751e-05
339	2.537306302e-05
340	2.530805565e-05
341	2.528137197e-05
342	2.522092218e-05
343	2.519575277e-05
344	2.501704431e-05
345	2.497946786e-05
346	2.491757365e-05
347	2.477736665e-05
348	2.472075101e-05
349	2.466075072e-05
350	2.453741954e-05
351	2.448977762e-05
352	2.445360303e-05
353	2.433895993e-05
354	2.42868711e-05
355	2.423812386e-05
356	2.421518012e-05
357	2.418430062e-05
358	2.414964034e-05
359	2.409386722e-05
360	2.396674535e-05
361	2.38551603e-05
362	2.380228277e-05
363	2.375882847e-05
364	2.371408697e-05
365	2.367834395e-05
366	2.362734157e-05
367	2.352494074e-05
368	2.347638271e-05
369	2.334651171e-05
370	2.326403313e-05
371	2.32177021e-05
372	2.314912859e-05
373	2.310980778e-05
374	2.307730028e-05
375	2.30326963e-05
376	2.298595395e-05
377	2.295072415e-05
378	2.283538484e-05
379	2.279032664e-05
380	2.274867756e-05
381	2.271756325e-05
382	2.262656163e-05
383	2.258665753e-05
384	2.252327196e-05
385	2.248233635e-05
386	2.235808998e-05
387	2.231859e-05
388	2.228378996e-05
389	2.223998358e-05
390	2.221010536e-05
391	2.217332143e-05
392	2.20763667e-05
393	2.203907212e-05
394	2.201622723e-05
395	2.198739409e-05
396	2.195480561e-05
397	2.191843816e-05
398	2.180753302e-05
399	2.177706293e-05
400	2.174201986e-05
401	2.170431815e-05
402	2.165440951e-05
403	2.162673557e-05
404	2.158993716e-05
405	2.156326444e-05
