iter	Passed	Remaining
0	143	143819
1	211	105292
2	281	93660
3	353	88124
4	430	85657
5	497	82374
6	566	80414
7	634	78658
8	698	76905
9	763	75564
10	834	74997
11	902	74315
12	973	73941
13	1047	73745
14	1111	72989
15	1181	72652
16	1246	72066
17	1321	72090
18	1429	73818
19	1493	73167
20	1559	72690
21	1618	71951
22	1682	71467
23	1748	71107
24	1811	70656
25	1875	70269
26	1943	70030
27	2002	69531
28	2065	69173
29	2130	68881
30	2192	68535
31	2251	68099
32	2317	67906
33	2380	67630
34	2445	67432
35	2509	67193
36	2574	67010
37	2640	66854
38	2706	66702
39	2769	66462
40	2828	66149
41	2892	65980
42	2957	65820
43	3020	65632
44	3083	65431
45	3149	65321
46	3213	65149
47	3278	65027
48	3344	64912
49	3407	64741
50	3470	64584
51	3536	64471
52	3598	64304
53	3665	64205
54	3731	64107
55	3794	63961
56	3859	63847
57	3924	63738
58	3986	63580
59	4049	63443
60	4115	63352
61	4177	63204
62	4240	63072
63	4305	62967
64	4371	62886
65	4437	62801
66	4497	62636
67	4561	62523
68	4627	62437
69	4689	62309
70	4757	62245
71	4816	62075
72	4891	62109
73	4958	62048
74	5021	61933
75	5085	61829
76	5149	61726
77	5214	61641
78	5283	61592
79	5351	61545
80	5415	61442
81	5479	61346
82	5543	61241
83	5606	61135
84	5672	61064
85	5736	60965
86	5802	60895
87	5867	60811
88	5930	60709
89	5996	60627
90	6064	60573
91	6124	60448
92	6192	60392
93	6258	60325
94	6322	60233
95	6387	60146
96	6450	60045
97	6513	59950
98	6582	59904
99	6648	59840
100	6711	59743
101	6775	59647
102	6839	59560
103	6903	59479
104	6972	59430
105	7035	59334
106	7099	59247
107	7166	59188
108	7233	59132
109	7297	59044
110	7364	58984
111	7423	58860
112	7488	58780
113	7551	58686
114	7615	58604
115	7679	58521
116	7745	58453
117	7811	58387
118	7878	58328
119	7945	58270
120	8008	58180
121	8077	58129
122	8141	58047
123	8208	57987
124	8273	57911
125	8337	57834
126	8400	57747
127	8464	57666
128	8529	57592
129	8593	57507
130	8657	57431
131	8721	57352
132	8785	57269
133	8853	57219
134	8918	57144
135	8986	57088
136	9049	57003
137	9113	56926
138	9181	56870
139	9244	56785
140	9311	56730
141	9375	56649
142	9438	56565
143	9503	56490
144	9569	56425
145	9631	56337
146	9696	56263
147	9763	56205
148	9827	56127
149	9890	56045
150	9954	55969
151	10022	55914
152	10090	55861
153	10153	55780
154	10217	55704
155	10282	55628
156	10345	55550
157	10409	55474
158	10473	55395
159	10537	55320
160	10604	55262
161	10671	55202
162	10738	55142
163	10806	55088
164	10874	55032
165	10939	54958
166	11002	54879
167	11065	54802
168	11128	54718
169	11190	54638
170	11257	54576
171	11324	54516
172	11388	54440
173	11452	54364
174	11515	54289
175	11578	54210
176	11642	54134
177	11705	54056
178	11768	53977
179	11830	53892
180	11896	53828
181	11960	53757
182	12023	53680
183	12086	53599
184	12147	53515
185	12210	53438
186	12274	53363
187	12335	53279
188	12397	53198
189	12458	53112
190	12519	53026
191	12580	52944
192	12638	52846
193	12702	52776
194	12767	52705
195	12824	52605
196	12884	52520
197	12948	52447
198	13005	52349
199	13069	52277
200	13133	52205
201	13192	52116
202	13253	52035
203	13311	51941
204	13373	51864
205	13433	51779
206	13493	51694
207	13553	51608
208	13610	51512
209	13670	51428
210	13731	51346
211	13792	51266
212	13852	51181
213	13909	51088
214	13967	50996
215	14021	50893
216	14077	50795
217	14133	50699
218	14189	50601
219	14245	50505
220	14304	50421
221	14362	50335
222	14424	50257
223	14482	50172
224	14541	50087
225	14601	50005
226	14659	49920
227	14719	49840
228	14775	49745
229	14835	49665
230	14892	49575
231	14949	49486
232	15005	49397
233	15062	49307
234	15122	49228
235	15178	49136
236	15234	49047
237	15289	48953
238	15348	48870
239	15406	48787
240	15465	48705
241	15528	48639
242	15584	48548
243	15640	48458
244	15700	48382
245	15754	48289
246	15814	48210
247	15870	48123
248	15938	48070
249	15994	47984
250	16050	47895
251	16106	47809
252	16162	47721
253	16223	47647
254	16278	47559
255	16338	47482
256	16396	47404
257	16457	47331
258	16515	47249
259	16575	47177
260	16631	47091
261	16687	47004
262	16742	46917
263	16798	46831
264	16853	46745
265	16908	46658
266	16969	46587
267	17025	46503
268	17080	46415
269	17135	46329
270	17195	46255
271	17249	46168
272	17305	46085
273	17363	46008
274	17417	45919
275	17478	45848
276	17533	45765
277	17588	45679
278	17639	45583
279	17698	45510
280	17752	45424
281	17807	45340
282	17861	45253
283	17915	45167
284	17967	45077
285	18027	45006
286	18082	44923
287	18145	44859
288	18205	44788
289	18263	44714
290	18323	44643
291	18377	44558
292	18429	44468
293	18484	44388
294	18535	44296
295	18597	44231
296	18656	44159
297	18708	44071
298	18764	43992
299	18816	43904
300	18870	43822
301	18923	43736
302	18983	43668
303	19043	43599
304	19096	43515
305	19156	43445
306	19209	43362
307	19262	43278
308	19314	43191
309	19376	43127
310	19437	43062
311	19489	42977
312	19551	42914
313	19605	42832
314	19658	42749
315	19716	42677
316	19779	42616
317	19831	42532
318	19887	42456
319	19949	42392
320	20010	42326
321	20070	42260
322	20129	42191
323	20182	42108
324	20244	42046
325	20306	41982
326	20360	41903
327	20412	41821
328	20468	41746
329	20522	41665
330	20585	41605
331	20645	41539
332	20706	41474
333	20765	41407
334	20819	41328
335	20872	41248
336	20924	41165
337	20986	41103
338	21046	41038
339	21103	40965
340	21155	40884
341	21218	40824
342	21279	40760
343	21339	40693
344	21404	40636
345	21464	40570
346	21518	40494
347	21578	40428
348	21640	40367
349	21695	40291
350	21751	40218
351	21802	40137
352	21861	40068
353	21924	40008
354	21977	39931
355	22038	39868
356	22099	39803
357	22154	39729
358	22215	39665
359	22265	39583
360	22324	39515
361	22379	39443
362	22430	39362
363	22490	39297
364	22550	39231
365	22607	39161
366	22659	39082
367	22713	39007
368	22764	38927
369	22827	38868
370	22883	38797
371	22937	38721
372	22997	38658
373	23057	38594
374	23117	38529
375	23170	38453
376	23228	38385
377	23288	38321
378	23347	38255
379	23408	38192
380	23461	38116
381	23520	38051
382	23579	37985
383	23630	37907
384	23689	37842
385	23741	37765
386	23804	37705
387	23854	37625
388	23913	37560
389	23968	37489
390	24035	37435
391	24085	37357
392	24139	37284
393	24190	37206
394	24245	37135
395	24305	37071
396	24356	36995
397	24409	36920
398	24471	36861
399	24521	36782
400	24577	36713
401	24648	36665
402	24709	36604
403	24772	36545
404	24838	36490
405	24902	36433
406	24958	36365
407	25018	36300
408	25115	36291
409	25175	36228
410	25240	36171
411	25295	36101
412	25361	36046
413	25425	35988
414	25484	35923
415	25541	35856
416	25599	35790
417	25656	35722
418	25719	35664
419	25773	35591
420	25832	35527
421	25887	35457
422	25940	35384
423	26004	35326
424	26064	35263
425	26120	35195
426	26181	35133
427	26243	35073
428	26306	35013
429	26362	34945
430	26423	34883
431	26480	34816
432	26535	34747
433	26599	34689
434	26655	34622
435	26708	34548
436	26771	34490
437	26831	34428
438	26886	34358
439	26952	34302
440	27014	34242
441	27077	34184
442	27140	34124
443	27199	34060
444	27261	33999
445	27316	33931
446	27381	33874
447	27434	33803
448	27492	33738
449	27552	33674
450	27613	33614
451	27666	33542
452	27718	33470
453	27780	33409
454	27841	33348
455	27895	33279
456	27954	33214
457	28013	33151
458	28076	33091
459	28137	33031
460	28200	32972
461	28259	32908
462	28312	32837
463	28380	32784
464	28439	32720
465	28498	32656
466	28556	32592
467	28623	32537
468	28686	32479
469	28745	32414
470	28804	32351
471	28866	32291
472	28918	32220
473	28979	32158
474	29040	32097
475	29096	32030
476	29160	31973
477	29221	31911
478	29281	31849
479	29342	31787
480	29395	31717
481	29462	31663
482	29525	31603
483	29578	31533
484	29637	31471
485	29690	31401
486	29743	31331
487	29807	31273
488	29867	31211
489	29920	31141
490	29984	31083
491	30038	31015
492	30095	30949
493	30153	30886
494	30210	30820
495	30274	30763
496	30327	30693
497	30383	30627
498	30444	30566
499	30497	30497
500	30553	30431
501	30620	30376
502	30677	30311
503	30741	30253
504	30798	30188
505	30860	30128
506	30917	30064
507	30979	30003
508	31040	29942
509	31100	29880
510	31168	29826
511	31229	29766
512	31287	29701
513	31350	29642
514	31406	29577
515	31463	29511
516	31522	29449
517	31582	29388
518	31648	29331
519	31707	29268
520	31770	29209
521	31822	29140
522	31881	29077
523	31941	29015
524	31994	28947
525	32050	28882
526	32113	28822
527	32170	28758
528	32230	28696
529	32290	28634
530	32353	28575
531	32416	28516
532	32480	28458
533	32538	28395
534	32598	28333
535	32662	28275
536	32727	28217
537	32780	28149
538	32837	28085
539	32903	28028
540	32972	27974
541	33043	27921
542	33115	27871
543	33184	27816
544	33256	27764
545	33318	27704
546	33383	27646
547	33441	27583
548	33496	27517
549	33561	27459
550	33630	27404
551	33699	27350
552	33768	27295
553	33827	27232
554	33887	27170
555	33940	27103
556	33998	27040
557	34064	26982
558	34132	26927
559	34204	26875
560	34277	26823
561	34342	26765
562	34411	26710
563	34478	26653
564	34542	26594
565	34606	26535
566	34675	26480
567	34746	26427
568	34815	26371
569	34880	26313
570	34944	26254
571	35009	26195
572	35081	26142
573	35148	26085
574	35201	26018
575	35265	25959
576	35329	25900
577	35394	25841
578	35458	25782
579	35520	25721
580	35579	25658
581	35643	25599
582	35708	25541
583	35764	25476
584	35829	25417
585	35895	25359
586	35959	25300
587	36019	25238
588	36072	25171
589	36141	25115
590	36200	25052
591	36265	24993
592	36328	24933
593	36386	24870
594	36449	24810
595	36516	24752
596	36581	24693
597	36639	24630
598	36709	24575
599	36773	24515
600	36827	24449
601	36925	24412
602	36983	24348
603	37043	24286
604	37098	24221
605	37156	24157
606	37218	24097
607	37282	24037
608	37334	23970
609	37396	23909
610	37462	23850
611	37526	23791
612	37584	23727
613	37648	23668
614	37715	23610
615	37780	23551
616	37847	23493
617	37905	23430
618	37965	23368
619	38029	23308
620	38086	23244
621	38151	23185
622	38204	23118
623	38260	23054
624	38324	22994
625	38385	22933
626	38439	22867
627	38502	22806
628	38564	22746
629	38622	22682
630	38685	22622
631	38753	22565
632	38807	22499
633	38860	22433
634	38917	22370
635	38981	22310
636	39047	22251
637	39109	22190
638	39171	22129
639	39238	22071
640	39295	22007
641	39354	21945
642	39415	21883
643	39468	21818
644	39533	21759
645	39598	21699
646	39665	21641
647	39733	21583
648	39797	21523
649	39861	21463
650	39919	21400
651	39984	21341
652	40040	21277
653	40093	21211
654	40158	21152
655	40225	21093
656	40289	21033
657	40348	20971
658	40409	20909
659	40462	20844
660	40526	20784
661	40579	20718
662	40640	20657
663	40708	20599
664	40765	20536
665	40828	20475
666	40880	20409
667	40945	20349
668	41009	20290
669	41064	20225
670	41135	20169
671	41201	20110
672	41269	20052
673	41332	19991
674	41385	19926
675	41437	19860
676	41507	19803
677	41572	19743
678	41643	19687
679	41704	19625
680	41771	19566
681	41835	19506
682	41888	19441
683	41953	19381
684	42005	19316
685	42065	19254
686	42130	19194
687	42199	19137
688	42251	19071
689	42314	19011
690	42377	18950
691	42437	18888
692	42496	18826
693	42562	18766
694	42623	18705
695	42690	18646
696	42758	18588
697	42812	18523
698	42872	18461
699	42940	18403
700	43002	18342
701	43066	18281
702	43125	18219
703	43196	18162
704	43261	18102
705	43319	18039
706	43373	17974
707	43432	17912
708	43496	17852
709	43558	17791
710	43625	17732
711	43689	17672
712	43748	17609
713	43809	17548
714	43870	17486
715	43923	17422
716	43976	17357
717	44039	17296
718	44097	17234
719	44162	17174
720	44225	17113
721	44278	17049
722	44340	16987
723	44404	16927
724	44462	16865
725	44523	16803
726	44576	16739
727	44636	16677
728	44694	16614
729	44758	16554
730	44814	16491
731	44877	16430
732	44939	16369
733	44990	16304
734	45047	16241
735	45112	16181
736	45174	16120
737	45231	16057
738	45289	15995
739	45345	15932
740	45410	15872
741	45472	15811
742	45531	15749
743	45591	15687
744	45653	15626
745	45717	15565
746	45782	15506
747	45835	15441
748	45894	15380
749	45957	15319
750	46009	15254
751	46066	15192
752	46127	15130
753	46186	15068
754	46239	15004
755	46304	14944
756	46368	14884
757	46433	14824
758	46493	14762
759	46552	14700
760	46603	14636
761	46670	14576
762	46738	14517
763	46803	14457
764	46866	14396
765	46928	14335
766	46990	14274
767	47051	14213
768	47103	14149
769	47166	14088
770	47225	14026
771	47278	13963
772	47341	13902
773	47398	13839
774	47462	13779
775	47528	13719
776	47587	13657
777	47640	13594
778	47705	13533
779	47764	13472
780	47828	13411
781	47888	13350
782	47947	13288
783	48000	13224
784	48053	13161
785	48116	13100
786	48175	13038
787	48240	12978
788	48302	12917
789	48366	12856
790	48430	12796
791	48496	12736
792	48555	12674
793	48615	12613
794	48669	12549
795	48720	12486
796	48783	12425
797	48847	12364
798	48902	12302
799	48955	12238
800	49016	12177
801	49079	12116
802	49144	12056
803	49208	11996
804	49274	11936
805	49331	11873
806	49389	11811
807	49442	11748
808	49508	11688
809	49569	11627
810	49628	11565
811	49681	11502
812	49743	11441
813	49797	11378
814	49858	11317
815	49911	11254
816	49970	11193
817	50035	11132
818	50096	11071
819	50156	11009
820	50212	10947
821	50274	10886
822	50338	10826
823	50404	10766
824	50464	10704
825	50527	10643
826	50583	10581
827	50638	10519
828	50697	10457
829	50757	10396
830	50816	10334
831	50888	10275
832	50951	10214
833	51007	10152
834	51059	10089
835	51121	10028
836	51179	9966
837	51231	9903
838	51299	9844
839	51369	9784
840	51463	9729
841	51522	9668
842	51584	9607
843	51648	9546
844	51699	9483
845	51764	9422
846	51816	9359
847	51880	9299
848	51937	9237
849	51992	9175
850	52043	9112
851	52103	9050
852	52166	8990
853	52230	8929
854	52291	8868
855	52349	8806
856	52409	8745
857	52469	8683
858	52520	8620
859	52585	8560
860	52649	8499
861	52708	8438
862	52766	8376
863	52823	8314
864	52885	8253
865	52936	8191
866	52996	8129
867	53057	8068
868	53123	8008
869	53185	7947
870	53245	7885
871	53306	7824
872	53359	7762
873	53415	7700
874	53469	7638
875	53523	7576
876	53587	7515
877	53644	7454
878	53705	7392
879	53768	7332
880	53819	7269
881	53890	7209
882	53952	7148
883	54004	7086
884	54062	7025
885	54119	6963
886	54182	6902
887	54240	6841
888	54303	6780
889	54364	6719
890	54422	6657
